disease,drug,fst_stratum,n_folds_appeared,co_rank_mean,dermakg_rank_mean,rank_gain,co_rank_per_fold,dermakg_rank_per_fold
seborrheic keratosis,dexamethasone,I-III,1,4.0,7.0,-3.0,4,7
contact dermatitis,betamethasone,IV-VI,1,1.0,4.0,-3.0,1,4
sarcoidosis,prednisolone,I-III,2,1.0,4.0,-3.0,1;1,3;5
angioedema,betamethasone,IV-VI,2,1.5,4.5,-3.0,2;1,7;2
lupus erythematosus,betamethasone,I-III,2,2.0,5.0,-3.0,3;1,7;3
psoriasis,betamethasone,I-III,2,2.0,5.5,-3.5,2;2,7;4
seborrheic keratosis,methylprednisolone,I-III,3,1.0,4.7,-3.7,1;1;1,5;4;5
contact dermatitis,dexamethasone,IV-VI,2,1.0,5.0,-4.0,1;1,7;3
tinea pedis,ciclopirox,IV-VI,1,2.0,6.0,-4.0,2,6
keratoacanthoma,fluorouracil,IV-VI,1,1.0,5.0,-4.0,1,5
psoriasis,triamcinolone,I-III,1,3.0,7.0,-4.0,3,7
tinea pedis,salicylic acid,IV-VI,2,2.0,6.0,-4.0,2;2,5;7
tinea corporis,salicylic acid,IV-VI,1,1.0,5.0,-4.0,1,5
discoid lupus erythematosus,methylprednisolone,IV-VI,1,1.0,5.0,-4.0,1,5
tinea corporis,clotrimazole,IV-VI,1,5.0,9.0,-4.0,5,9
contact dermatitis,hydrocortisone,IV-VI,1,2.0,6.0,-4.0,2,6
erythema multiforme,cortisone acetate,I-III,1,1.0,5.0,-4.0,1,5
granuloma annulare,triamcinolone,I-III,1,3.0,7.0,-4.0,3,7
discoid lupus erythematosus,prednisolone,IV-VI,1,1.0,6.0,-5.0,1,6
psoriasis,hydrocortisone,I-III,1,1.0,6.0,-5.0,1,6
angioedema,hydrocortisone,IV-VI,1,1.0,6.0,-5.0,1,6
angioedema,triamcinolone,IV-VI,1,1.0,6.0,-5.0,1,6
contact dermatitis,triamcinolone,IV-VI,1,2.0,7.0,-5.0,2,7
discoid lupus erythematosus,triamcinolone,IV-VI,1,1.0,6.0,-5.0,1,6
contact dermatitis,prednisolone,IV-VI,1,1.0,6.0,-5.0,1,6
psoriasis,prednisolone,I-III,2,1.5,6.5,-5.0,2;1,7;6
psoriasis,methylprednisolone,I-III,1,1.0,6.0,-5.0,1,6
angioedema,prednisolone,IV-VI,1,2.0,7.0,-5.0,2,7
oral candidiasis,posaconazole,IV-VI,1,2.0,7.0,-5.0,2,7
lupus erythematosus,prednisolone,I-III,2,1.5,6.5,-5.0,2;1,7;6
psoriasis,prednisone,I-III,1,4.0,9.0,-5.0,4,9
tinea pedis,clotrimazole,IV-VI,1,4.0,9.0,-5.0,4,9
langerhans cell histiocytosis,dexamethasone,I-III,1,2.0,7.0,-5.0,2,7
erythema multiforme,prednisone,I-III,1,4.0,9.0,-5.0,4,9
sarcoidosis,methylprednisolone,I-III,1,1.0,6.0,-5.0,1,6
neurodermatitis,triamcinolone,I-III,2,1.5,7.0,-5.5,1;2,7;7
erythema multiforme,triamcinolone,I-III,1,1.0,7.0,-6.0,1,7
langerhans cell histiocytosis,triamcinolone,I-III,1,1.0,7.0,-6.0,1,7
neurodermatitis,dexamethasone,I-III,1,1.0,7.0,-6.0,1,7
psoriasis,hydrocortisone acetate,I-III,1,3.0,9.0,-6.0,3,9
neurodermatitis,prednisolone,I-III,1,1.0,7.0,-6.0,1,7
erythema multiforme,betamethasone,I-III,1,1.0,7.0,-6.0,1,7
langerhans cell histiocytosis,prednisone,I-III,3,2.7,8.7,-6.0,1;6;1,9;9;8
neurodermatitis,betamethasone,I-III,1,1.0,7.0,-6.0,1,7
langerhans cell histiocytosis,hydrocortisone acetate,I-III,1,1.0,8.0,-7.0,1,8
erythrasma,oxytetracycline,IV-VI,1,2.0,9.0,-7.0,2,9
erythrasma,demeclocycline,IV-VI,1,1.0,8.0,-7.0,1,8
syphilis,minocycline,IV-VI,3,1.3,9.0,-7.7,2;1;1,9;10;8
sarcoidosis,prednisone,I-III,1,1.0,9.0,-8.0,1,9
contact dermatitis,desonide,IV-VI,1,3.0,11.0,-8.0,3,11
seborrheic dermatitis,flurandrenolide,I-III,2,1.0,9.0,-8.0,1;1,9;9
neurodermatitis,flumethasone,I-III,1,2.0,10.0,-8.0,2,10
lupus erythematosus,chloroquine,I-III,1,12.0,20.0,-8.0,12,20
erythrasma,tetracycline,IV-VI,1,1.0,9.0,-8.0,1,9
seborrheic dermatitis,amcinonide,I-III,1,4.0,13.0,-9.0,4,13
seborrheic keratosis,amcinonide,I-III,1,5.0,14.0,-9.0,5,14
granuloma annulare,desonide,I-III,1,3.0,13.0,-10.0,3,13
syphilis,tetracycline,IV-VI,1,1.0,11.0,-10.0,1,11
lupus erythematosus,fluocinonide,I-III,1,2.0,12.0,-10.0,2,12
seborrheic dermatitis,ammonia,I-III,3,17.0,27.3,-10.3,7;9;35,24;29;29
lupus erythematosus,amcinonide,I-III,2,4.0,14.5,-10.5,4;4,17;12
granuloma annulare,ammonium lactate,I-III,2,9.5,20.0,-10.5,14;5,20;20
neurodermatitis,desonide,I-III,1,3.0,14.0,-11.0,3,14
discoid lupus erythematosus,desonide,IV-VI,1,3.0,14.0,-11.0,3,14
neurodermatitis,prednicarbate,I-III,1,7.0,18.0,-11.0,7,18
contact dermatitis,flurandrenolide,IV-VI,1,3.0,14.0,-11.0,3,14
seborrheic dermatitis,flumethasone,I-III,1,2.0,13.0,-11.0,2,13
neurodermatitis,fluocinolone acetonide,I-III,1,3.0,14.0,-11.0,3,14
lupus erythematosus,prednicarbate,I-III,2,3.5,15.0,-11.5,2;5,12;18
seborrheic keratosis,prednisone,I-III,2,8.0,19.5,-11.5,7;9,18;21
contact dermatitis,fluocinolone acetonide,IV-VI,2,2.5,14.0,-11.5,3;2,16;12
seborrheic dermatitis,halcinonide,I-III,3,2.7,14.3,-11.7,2;3;3,11;14;18
discoid lupus erythematosus,fluocinolone acetonide,IV-VI,1,2.0,14.0,-12.0,2,14
seborrheic keratosis,ketoconazole,I-III,2,7.5,19.5,-12.0,7;8,18;21
tinea corporis,haloprogin,IV-VI,1,7.0,19.0,-12.0,7,19
tinea pedis,clioquinol,IV-VI,1,5.0,17.0,-12.0,5,17
neurodermatitis,desoximetasone,I-III,1,2.0,14.0,-12.0,2,14
discoid lupus erythematosus,flumethasone,IV-VI,2,3.0,15.0,-12.0,3;3,15;15
tinea corporis,tolnaftate,IV-VI,1,9.0,21.0,-12.0,9,21
seborrheic keratosis,flurandrenolide,I-III,1,4.0,16.0,-12.0,4,16
tinea pedis,pramocaine,IV-VI,1,7.0,19.0,-12.0,7,19
granuloma annulare,flurandrenolide,I-III,1,4.0,16.0,-12.0,4,16
seborrheic keratosis,desonide,I-III,1,2.0,14.0,-12.0,2,14
granuloma annulare,desoximetasone,I-III,1,3.0,15.0,-12.0,3,15
tinea corporis,oxiconazole,IV-VI,2,8.0,20.5,-12.5,8;8,21;20
lupus erythematosus,fluticasone propionate,I-III,2,3.0,15.5,-12.5,3;3,15;16
granuloma annulare,amcinonide,I-III,2,2.5,15.0,-12.5,3;2,17;13
discoid lupus erythematosus,amcinonide,IV-VI,3,1.7,14.3,-12.7,2;1;2,17;12;14
tinea corporis,butenafine,IV-VI,1,6.0,19.0,-13.0,6,19
discoid lupus erythematosus,fluticasone propionate,IV-VI,2,4.0,17.0,-13.0,4;4,18;16
lupus erythematosus,flumethasone,I-III,2,2.5,15.5,-13.0,3;2,16;15
discoid lupus erythematosus,halcinonide,IV-VI,1,4.0,17.0,-13.0,4,17
tinea corporis,sulconazole,IV-VI,2,7.5,21.0,-13.5,7;8,22;20
granuloma annulare,mometasone furoate,I-III,3,3.7,17.7,-14.0,4;4;3,17;17;19
seborrheic keratosis,desoximetasone,I-III,2,3.5,17.5,-14.0,4;3,21;14
discoid lupus erythematosus,desoximetasone,IV-VI,2,2.5,16.5,-14.0,2;3,15;18
seborrheic keratosis,fluocinolone acetonide,I-III,1,2.0,16.0,-14.0,2,16
tinea pedis,benzocaine,IV-VI,1,4.0,18.0,-14.0,4,18
seborrheic keratosis,fluocinonide,I-III,1,6.0,20.0,-14.0,6,20
lupus erythematosus,mometasone furoate,I-III,1,4.0,18.0,-14.0,4,18
tinea pedis,oxiconazole,IV-VI,1,7.0,21.0,-14.0,7,21
neurodermatitis,halcinonide,I-III,1,3.0,17.0,-14.0,3,17
seborrheic dermatitis,mometasone furoate,I-III,1,2.0,16.0,-14.0,2,16
seborrheic dermatitis,ciclopirox,I-III,3,7.7,21.7,-14.0,9;7;7,20;22;23
contact dermatitis,mometasone furoate,IV-VI,1,1.0,15.0,-14.0,1,15
tinea pedis,undecylenic acid,IV-VI,1,8.0,23.0,-15.0,8,23
neurodermatitis,fluticasone propionate,I-III,1,3.0,18.0,-15.0,3,18
tinea corporis,terbinafine,IV-VI,2,6.5,21.5,-15.0,7;6,22;21
tinea corporis,undecylenic acid,IV-VI,2,6.5,21.5,-15.0,4;9,21;22
lupus erythematosus,halcinonide,I-III,1,2.0,17.0,-15.0,2,17
neurodermatitis,mometasone furoate,I-III,1,2.0,17.0,-15.0,2,17
tinea corporis,luliconazole,IV-VI,1,5.0,20.0,-15.0,5,20
tinea corporis,benzocaine,IV-VI,2,4.5,19.5,-15.0,6;3,19;20
contact dermatitis,flumethasone,IV-VI,1,2.0,17.0,-15.0,2,17
discoid lupus erythematosus,prednicarbate,IV-VI,1,1.0,16.0,-15.0,1,16
seborrheic keratosis,mometasone furoate,I-III,2,2.0,17.5,-15.5,2;2,13;22
contact dermatitis,ammonium lactate,IV-VI,2,7.0,22.5,-15.5,10;4,23;22
seborrheic keratosis,halcinonide,I-III,2,3.0,19.0,-16.0,3;3,17;21
contact dermatitis,fluocinonide,IV-VI,1,3.0,19.0,-16.0,3,19
contact dermatitis,halcinonide,IV-VI,1,4.0,20.0,-16.0,4,20
tinea pedis,naftifine,IV-VI,1,3.0,20.0,-17.0,3,20
seborrheic keratosis,fluticasone propionate,I-III,2,3.0,20.0,-17.0,5;1,24;16
seborrheic dermatitis,fluticasone propionate,I-III,1,4.0,21.0,-17.0,4,21
seborrheic dermatitis,climbazole,I-III,1,13.0,30.0,-17.0,13,30
seborrheic dermatitis,ammonium lactate,I-III,1,4.0,21.0,-17.0,4,21
seborrheic dermatitis,fluocinonide,I-III,1,2.0,19.0,-17.0,2,19
seborrheic dermatitis,sulfacetamide,I-III,4,13.8,31.0,-17.2,14;13;14;14,31;31;31;31
seborrheic keratosis,prednicarbate,I-III,2,4.5,22.0,-17.5,3;6,17;27
seborrheic keratosis,salicylic acid,I-III,2,6.5,24.0,-17.5,7;6,22;26
seborrheic dermatitis,chloroxine,I-III,1,12.0,30.0,-18.0,12,30
contact dermatitis,benzoyl peroxide,IV-VI,1,4.0,22.0,-18.0,4,22
contact dermatitis,desoximetasone,IV-VI,1,3.0,21.0,-18.0,3,21
tinea pedis,zinc oxide,IV-VI,4,4.5,23.5,-19.0,6;3;6;3,23;23;24;24
contact dermatitis,prednicarbate,IV-VI,1,4.0,23.0,-19.0,4,23
seborrheic keratosis,allantoin,I-III,1,6.0,28.0,-22.0,6,28
seborrheic keratosis,clobetasol propionate,I-III,1,6.0,30.0,-24.0,6,30
seborrheic keratosis,climbazole,I-III,1,10.0,36.0,-26.0,10,36
seborrheic keratosis,chloroxine,I-III,1,10.0,37.0,-27.0,10,37
seborrheic keratosis,urea,I-III,2,6.0,34.5,-28.5,7;5,35;34
seborrheic keratosis,selenium sulfide,I-III,1,9.0,39.0,-30.0,9,39
rosacea,fusidic acid,I-III,1,91.0,159.0,-68.0,91,159
erythrasma,erythromycin,IV-VI,3,49.3,166.0,-116.7,2;2;144,166;166;166
seborrheic dermatitis,cortisone acetate,I-III,2,2.0,164.0,-162.0,1;3,164;164
seborrheic dermatitis,hydrocortisone,I-III,2,2.0,165.0,-163.0,3;1,165;165
