disease,drug,relation,alpha_iii,beta_iii,post_mean_iii,n_eff_iii,alpha_ivvi,beta_ivvi,post_mean_ivvi,n_eff_ivvi,ceg
contact dermatitis,clobetasol propionate,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,cortisone acetate,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,desonide,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,desoximetasone,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,dexamethasone,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,flumethasone,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,fluocinolone acetonide,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,fluocinonide,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,flurandrenolide,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,fluticasone propionate,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,halcinonide,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,hydrocortisone,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,hydrocortisone acetate,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,methylprednisolone,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,mometasone furoate,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,prednicarbate,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,prednisolone,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,prednisone,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,triamcinolone,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,urea,indication,7.8394,0.5000,0.9400,8.34,10.5772,0.5000,0.9549,11.08,nan
contact dermatitis,diiodohydroxyquinoline,off-label use,4.4721,3.8673,0.5363,8.34,5.8410,5.2362,0.5273,11.08,nan
cutaneous anthrax,benzylpenicillin,indication,1.1048,0.5000,0.6884,1.60,3.1048,0.5000,0.8613,3.60,nan
cutaneous anthrax,doxycycline,indication,1.1048,0.5000,0.6884,1.60,3.1048,0.5000,0.8613,3.60,nan
cutaneous anthrax,fusidic acid,indication,1.1048,0.5000,0.6884,1.60,3.1048,0.5000,0.8613,3.60,nan
cutaneous anthrax,cilastatin,off-label use,1.1048,0.5000,0.6884,1.60,2.1048,1.5000,0.5839,3.60,nan
cutaneous anthrax,ciprofloxacin,off-label use,1.1048,0.5000,0.6884,1.60,2.1048,1.5000,0.5839,3.60,nan
cutaneous anthrax,clindamycin,off-label use,1.1048,0.5000,0.6884,1.60,2.1048,1.5000,0.5839,3.60,nan
cutaneous anthrax,erythromycin,off-label use,1.1048,0.5000,0.6884,1.60,2.1048,1.5000,0.5839,3.60,nan
cutaneous anthrax,imipenem,off-label use,1.1048,0.5000,0.6884,1.60,2.1048,1.5000,0.5839,3.60,nan
cutaneous anthrax,norfloxacin,off-label use,1.1048,0.5000,0.6884,1.60,2.1048,1.5000,0.5839,3.60,nan
cutaneous anthrax,ofloxacin,off-label use,1.1048,0.5000,0.6884,1.60,2.1048,1.5000,0.5839,3.60,nan
cutaneous anthrax,rifampicin,off-label use,1.1048,0.5000,0.6884,1.60,2.1048,1.5000,0.5839,3.60,nan
cutaneous anthrax,vancomycin,off-label use,1.1048,0.5000,0.6884,1.60,2.1048,1.5000,0.5839,3.60,nan
cutaneous larva migrans,thiabendazole,indication,1.1048,0.5000,0.6884,1.60,3.1048,0.5000,0.8613,3.60,nan
dermatomyositis,aminobenzoic acid,indication,10.4875,0.5000,0.9545,10.99,8.5802,0.5000,0.9449,9.08,nan
dermatomyositis,benzoic acid,indication,10.4875,0.5000,0.9545,10.99,8.5802,0.5000,0.9449,9.08,nan
discoid lupus erythematosus,amcinonide,indication,4.9967,0.5000,0.9090,5.50,4.9967,0.5000,0.9090,5.50,nan
discoid lupus erythematosus,betamethasone,indication,4.9967,0.5000,0.9090,5.50,4.9967,0.5000,0.9090,5.50,nan
discoid lupus erythematosus,chloroquine,indication,4.9967,0.5000,0.9090,5.50,4.9967,0.5000,0.9090,5.50,nan
discoid lupus erythematosus,cortisone acetate,indication,4.9967,0.5000,0.9090,5.50,4.9967,0.5000,0.9090,5.50,nan
discoid lupus erythematosus,desonide,indication,4.9967,0.5000,0.9090,5.50,4.9967,0.5000,0.9090,5.50,nan
discoid lupus erythematosus,desoximetasone,indication,4.9967,0.5000,0.9090,5.50,4.9967,0.5000,0.9090,5.50,nan
discoid lupus erythematosus,dexamethasone,indication,4.9967,0.5000,0.9090,5.50,4.9967,0.5000,0.9090,5.50,nan
discoid lupus erythematosus,flumethasone,indication,4.9967,0.5000,0.9090,5.50,4.9967,0.5000,0.9090,5.50,nan
discoid lupus erythematosus,fluocinolone acetonide,indication,4.9967,0.5000,0.9090,5.50,4.9967,0.5000,0.9090,5.50,nan
discoid lupus erythematosus,fluocinonide,indication,4.9967,0.5000,0.9090,5.50,4.9967,0.5000,0.9090,5.50,nan
discoid lupus erythematosus,flurandrenolide,indication,4.9967,0.5000,0.9090,5.50,4.9967,0.5000,0.9090,5.50,nan
discoid lupus erythematosus,fluticasone propionate,indication,4.9967,0.5000,0.9090,5.50,4.9967,0.5000,0.9090,5.50,nan
discoid lupus erythematosus,halcinonide,indication,4.9967,0.5000,0.9090,5.50,4.9967,0.5000,0.9090,5.50,nan
discoid lupus erythematosus,hydrocortisone,indication,4.9967,0.5000,0.9090,5.50,4.9967,0.5000,0.9090,5.50,nan
discoid lupus erythematosus,hydroxychloroquine,indication,4.9967,0.5000,0.9090,5.50,4.9967,0.5000,0.9090,5.50,nan
discoid lupus erythematosus,methylprednisolone,indication,4.9967,0.5000,0.9090,5.50,4.9967,0.5000,0.9090,5.50,nan
discoid lupus erythematosus,mometasone furoate,indication,4.9967,0.5000,0.9090,5.50,4.9967,0.5000,0.9090,5.50,nan
discoid lupus erythematosus,prednicarbate,indication,4.9967,0.5000,0.9090,5.50,4.9967,0.5000,0.9090,5.50,nan
discoid lupus erythematosus,prednisolone,indication,4.9967,0.5000,0.9090,5.50,4.9967,0.5000,0.9090,5.50,nan
discoid lupus erythematosus,triamcinolone,indication,4.9967,0.5000,0.9090,5.50,4.9967,0.5000,0.9090,5.50,nan
discoid lupus erythematosus,quinacrine,off-label use,3.0507,2.4459,0.5550,5.50,3.0507,2.4459,0.5550,5.50,nan
discoid lupus erythematosus,thalidomide,off-label use,3.0507,2.4459,0.5550,5.50,3.0507,2.4459,0.5550,5.50,nan
ecthyma,erythromycin,off-label use,2.4911,1.8863,0.5691,4.38,2.1048,1.5000,0.5839,3.60,nan
ecthyma,mupirocin,off-label use,2.4911,1.8863,0.5691,4.38,2.1048,1.5000,0.5839,3.60,nan
epidermodysplasia verruciformis,imiquimod,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
epidermolysis bullosa,mupirocin,off-label use,4.9335,4.3286,0.5327,9.26,4.5388,3.9340,0.5357,8.47,nan
epidermolysis bullosa simplex,mupirocin,off-label use,2.8966,2.2918,0.5583,5.19,3.1843,2.5794,0.5525,5.76,nan
erythema multiforme,betamethasone,indication,11.2923,0.5000,0.9576,11.79,9.6582,0.5000,0.9508,10.16,nan
erythema multiforme,cortisone acetate,indication,11.2923,0.5000,0.9576,11.79,9.6582,0.5000,0.9508,10.16,nan
erythema multiforme,dexamethasone,indication,11.2923,0.5000,0.9576,11.79,9.6582,0.5000,0.9508,10.16,nan
erythema multiforme,hydrocortisone,indication,11.2923,0.5000,0.9576,11.79,9.6582,0.5000,0.9508,10.16,nan
erythema multiforme,hydrocortisone acetate,indication,11.2923,0.5000,0.9576,11.79,9.6582,0.5000,0.9508,10.16,nan
erythema multiforme,methylprednisolone,indication,11.2923,0.5000,0.9576,11.79,9.6582,0.5000,0.9508,10.16,nan
erythema multiforme,prednisolone,indication,11.2923,0.5000,0.9576,11.79,9.6582,0.5000,0.9508,10.16,nan
erythema multiforme,prednisone,indication,11.2923,0.5000,0.9576,11.79,9.6582,0.5000,0.9508,10.16,nan
erythema multiforme,triamcinolone,indication,11.2923,0.5000,0.9576,11.79,9.6582,0.5000,0.9508,10.16,nan
erythrasma,amphotericin b,indication,1.1048,0.5000,0.6884,1.60,3.1048,0.5000,0.8613,3.60,nan
erythrasma,benzylpenicillin,indication,1.1048,0.5000,0.6884,1.60,3.1048,0.5000,0.8613,3.60,nan
erythrasma,demeclocycline,indication,1.1048,0.5000,0.6884,1.60,3.1048,0.5000,0.8613,3.60,nan
erythrasma,doxycycline,indication,1.1048,0.5000,0.6884,1.60,3.1048,0.5000,0.8613,3.60,nan
erythrasma,erythromycin,indication,1.1048,0.5000,0.6884,1.60,3.1048,0.5000,0.8613,3.60,nan
erythrasma,fusidic acid,indication,1.1048,0.5000,0.6884,1.60,3.1048,0.5000,0.8613,3.60,nan
erythrasma,meclocycline,indication,1.1048,0.5000,0.6884,1.60,3.1048,0.5000,0.8613,3.60,nan
erythrasma,minocycline,indication,1.1048,0.5000,0.6884,1.60,3.1048,0.5000,0.8613,3.60,nan
erythrasma,oxytetracycline,indication,1.1048,0.5000,0.6884,1.60,3.1048,0.5000,0.8613,3.60,nan
erythrasma,tetracycline,indication,1.1048,0.5000,0.6884,1.60,3.1048,0.5000,0.8613,3.60,nan
erythrasma,clindamycin,off-label use,1.1048,0.5000,0.6884,1.60,2.1048,1.5000,0.5839,3.60,nan
erythrasma,erythromycin,off-label use,1.1048,0.5000,0.6884,1.60,2.1048,1.5000,0.5839,3.60,nan
erythrasma,phenoxymethylpenicillin,off-label use,1.1048,0.5000,0.6884,1.60,2.1048,1.5000,0.5839,3.60,nan
folliculitis,fusidic acid,indication,11.9723,0.5000,0.9599,12.47,10.5596,0.5000,0.9548,11.06,nan
folliculitis,mupirocin,off-label use,6.5386,5.9337,0.5242,12.47,5.8322,5.2274,0.5273,11.06,nan
granuloma annulare,amcinonide,indication,10.9593,0.5000,0.9564,11.46,9.7398,0.5000,0.9512,10.24,nan
granuloma annulare,ammonium lactate,indication,10.9593,0.5000,0.9564,11.46,9.7398,0.5000,0.9512,10.24,nan
granuloma annulare,benzoyl peroxide,indication,10.9593,0.5000,0.9564,11.46,9.7398,0.5000,0.9512,10.24,nan
granuloma annulare,betamethasone,indication,10.9593,0.5000,0.9564,11.46,9.7398,0.5000,0.9512,10.24,nan
granuloma annulare,cortisone acetate,indication,10.9593,0.5000,0.9564,11.46,9.7398,0.5000,0.9512,10.24,nan
granuloma annulare,desonide,indication,10.9593,0.5000,0.9564,11.46,9.7398,0.5000,0.9512,10.24,nan
granuloma annulare,desoximetasone,indication,10.9593,0.5000,0.9564,11.46,9.7398,0.5000,0.9512,10.24,nan
granuloma annulare,dexamethasone,indication,10.9593,0.5000,0.9564,11.46,9.7398,0.5000,0.9512,10.24,nan
granuloma annulare,flumethasone,indication,10.9593,0.5000,0.9564,11.46,9.7398,0.5000,0.9512,10.24,nan
granuloma annulare,fluocinolone acetonide,indication,10.9593,0.5000,0.9564,11.46,9.7398,0.5000,0.9512,10.24,nan
granuloma annulare,fluocinonide,indication,10.9593,0.5000,0.9564,11.46,9.7398,0.5000,0.9512,10.24,nan
granuloma annulare,flurandrenolide,indication,10.9593,0.5000,0.9564,11.46,9.7398,0.5000,0.9512,10.24,nan
granuloma annulare,fluticasone propionate,indication,10.9593,0.5000,0.9564,11.46,9.7398,0.5000,0.9512,10.24,nan
granuloma annulare,halcinonide,indication,10.9593,0.5000,0.9564,11.46,9.7398,0.5000,0.9512,10.24,nan
granuloma annulare,hydrocortisone,indication,10.9593,0.5000,0.9564,11.46,9.7398,0.5000,0.9512,10.24,nan
granuloma annulare,methylprednisolone,indication,10.9593,0.5000,0.9564,11.46,9.7398,0.5000,0.9512,10.24,nan
granuloma annulare,mometasone furoate,indication,10.9593,0.5000,0.9564,11.46,9.7398,0.5000,0.9512,10.24,nan
granuloma annulare,prednicarbate,indication,10.9593,0.5000,0.9564,11.46,9.7398,0.5000,0.9512,10.24,nan
granuloma annulare,prednisolone,indication,10.9593,0.5000,0.9564,11.46,9.7398,0.5000,0.9512,10.24,nan
granuloma annulare,triamcinolone,indication,10.9593,0.5000,0.9564,11.46,9.7398,0.5000,0.9512,10.24,nan
granuloma annulare,dapsone,off-label use,6.0321,5.4273,0.5264,11.46,5.4223,4.8175,0.5295,10.24,nan
hemangioma,propranolol,indication,5.4993,0.5000,0.9167,6.00,4.3237,0.5000,0.8963,4.82,nan
herpes labialis,acyclovir,indication,3.3021,0.5000,0.8685,3.80,3.1048,0.5000,0.8613,3.60,nan
herpes labialis,docosanol,indication,3.3021,0.5000,0.8685,3.80,3.1048,0.5000,0.8613,3.60,nan
herpes labialis,penciclovir,indication,3.3021,0.5000,0.8685,3.80,3.1048,0.5000,0.8613,3.60,nan
herpes zoster,acyclovir,indication,6.5209,0.5000,0.9288,7.02,7.0963,0.5000,0.9342,7.60,nan
herpes zoster,amenamevir,indication,6.5209,0.5000,0.9288,7.02,7.0963,0.5000,0.9342,7.60,nan
herpes zoster,famciclovir,indication,6.5209,0.5000,0.9288,7.02,7.0963,0.5000,0.9342,7.60,nan
hidradenitis,adalimumab,indication,9.5142,0.5000,0.9501,10.01,8.3800,0.5000,0.9437,8.88,nan
impetigo,cefuroxime,indication,5.2637,0.5000,0.9133,5.76,6.8856,0.5000,0.9323,7.39,nan
impetigo,mupirocin,indication,5.2637,0.5000,0.9133,5.76,6.8856,0.5000,0.9323,7.39,nan
impetigo,retapamulin,indication,5.2637,0.5000,0.9133,5.76,6.8856,0.5000,0.9323,7.39,nan
keloid,dexamethasone,indication,10.0595,0.5000,0.9526,10.56,10.0821,0.5000,0.9528,10.58,nan
keloid,tranilast,indication,10.0595,0.5000,0.9526,10.56,10.0821,0.5000,0.9528,10.58,nan
keloid,triamcinolone,indication,10.0595,0.5000,0.9526,10.56,10.0821,0.5000,0.9528,10.58,nan
keratoacanthoma,aminolevulinic acid,indication,1.1048,0.5000,0.6884,1.60,3.1048,0.5000,0.8613,3.60,nan
keratoacanthoma,diclofenac,indication,1.1048,0.5000,0.6884,1.60,3.1048,0.5000,0.8613,3.60,nan
keratoacanthoma,fluorouracil,indication,1.1048,0.5000,0.6884,1.60,3.1048,0.5000,0.8613,3.60,nan
keratoacanthoma,imiquimod,indication,1.1048,0.5000,0.6884,1.60,3.1048,0.5000,0.8613,3.60,nan
keratoacanthoma,ingenol mebutate,indication,1.1048,0.5000,0.6884,1.60,3.1048,0.5000,0.8613,3.60,nan
keratoacanthoma,masoprocol,indication,1.1048,0.5000,0.6884,1.60,3.1048,0.5000,0.8613,3.60,nan
langerhans cell histiocytosis,betamethasone,indication,8.9685,0.5000,0.9472,9.47,4.9967,0.5000,0.9090,5.50,nan
langerhans cell histiocytosis,bleomycin,indication,8.9685,0.5000,0.9472,9.47,4.9967,0.5000,0.9090,5.50,nan
langerhans cell histiocytosis,carmustine,indication,8.9685,0.5000,0.9472,9.47,4.9967,0.5000,0.9090,5.50,nan
langerhans cell histiocytosis,cortisone acetate,indication,8.9685,0.5000,0.9472,9.47,4.9967,0.5000,0.9090,5.50,nan
langerhans cell histiocytosis,dexamethasone,indication,8.9685,0.5000,0.9472,9.47,4.9967,0.5000,0.9090,5.50,nan
langerhans cell histiocytosis,doxorubicin,indication,8.9685,0.5000,0.9472,9.47,4.9967,0.5000,0.9090,5.50,nan
langerhans cell histiocytosis,hydrocortisone,indication,8.9685,0.5000,0.9472,9.47,4.9967,0.5000,0.9090,5.50,nan
langerhans cell histiocytosis,hydrocortisone acetate,indication,8.9685,0.5000,0.9472,9.47,4.9967,0.5000,0.9090,5.50,nan
langerhans cell histiocytosis,mechlorethamine,indication,8.9685,0.5000,0.9472,9.47,4.9967,0.5000,0.9090,5.50,nan
langerhans cell histiocytosis,methotrexate,indication,8.9685,0.5000,0.9472,9.47,4.9967,0.5000,0.9090,5.50,nan
langerhans cell histiocytosis,methylprednisolone,indication,8.9685,0.5000,0.9472,9.47,4.9967,0.5000,0.9090,5.50,nan
langerhans cell histiocytosis,prednisolone,indication,8.9685,0.5000,0.9472,9.47,4.9967,0.5000,0.9090,5.50,nan
langerhans cell histiocytosis,prednisone,indication,8.9685,0.5000,0.9472,9.47,4.9967,0.5000,0.9090,5.50,nan
langerhans cell histiocytosis,rituximab,indication,8.9685,0.5000,0.9472,9.47,4.9967,0.5000,0.9090,5.50,nan
langerhans cell histiocytosis,thiotepa,indication,8.9685,0.5000,0.9472,9.47,4.9967,0.5000,0.9090,5.50,nan
langerhans cell histiocytosis,triamcinolone,indication,8.9685,0.5000,0.9472,9.47,4.9967,0.5000,0.9090,5.50,nan
langerhans cell histiocytosis,uracil mustard,indication,8.9685,0.5000,0.9472,9.47,4.9967,0.5000,0.9090,5.50,nan
langerhans cell histiocytosis,vinblastine,indication,8.9685,0.5000,0.9472,9.47,4.9967,0.5000,0.9090,5.50,nan
langerhans cell histiocytosis,vincristine,indication,8.9685,0.5000,0.9472,9.47,4.9967,0.5000,0.9090,5.50,nan
langerhans cell histiocytosis,cladribine,off-label use,5.0367,4.4318,0.5319,9.47,3.0507,2.4459,0.5550,5.50,nan
lichen planus,triamcinolone,indication,12.2567,0.5000,0.9608,12.76,12.3311,0.5000,0.9610,12.83,nan
lichen planus,acitretin,off-label use,6.6808,6.0759,0.5237,12.76,6.7180,6.1131,0.5236,12.83,nan
lichen planus,etretinate,off-label use,6.6808,6.0759,0.5237,12.76,6.7180,6.1131,0.5236,12.83,nan
lichen planus,methoxsalen,off-label use,6.6808,6.0759,0.5237,12.76,6.7180,6.1131,0.5236,12.83,nan
lupus erythematosus,amcinonide,indication,11.9102,0.5000,0.9597,12.41,11.5018,0.5000,0.9583,12.00,nan
lupus erythematosus,betamethasone,indication,11.9102,0.5000,0.9597,12.41,11.5018,0.5000,0.9583,12.00,nan
lupus erythematosus,chloroquine,indication,11.9102,0.5000,0.9597,12.41,11.5018,0.5000,0.9583,12.00,nan
lupus erythematosus,cortisone acetate,indication,11.9102,0.5000,0.9597,12.41,11.5018,0.5000,0.9583,12.00,nan
lupus erythematosus,desonide,indication,11.9102,0.5000,0.9597,12.41,11.5018,0.5000,0.9583,12.00,nan
lupus erythematosus,desoximetasone,indication,11.9102,0.5000,0.9597,12.41,11.5018,0.5000,0.9583,12.00,nan
lupus erythematosus,dexamethasone,indication,11.9102,0.5000,0.9597,12.41,11.5018,0.5000,0.9583,12.00,nan
lupus erythematosus,flumethasone,indication,11.9102,0.5000,0.9597,12.41,11.5018,0.5000,0.9583,12.00,nan
lupus erythematosus,fluocinolone acetonide,indication,11.9102,0.5000,0.9597,12.41,11.5018,0.5000,0.9583,12.00,nan
lupus erythematosus,fluocinonide,indication,11.9102,0.5000,0.9597,12.41,11.5018,0.5000,0.9583,12.00,nan
lupus erythematosus,flurandrenolide,indication,11.9102,0.5000,0.9597,12.41,11.5018,0.5000,0.9583,12.00,nan
lupus erythematosus,fluticasone propionate,indication,11.9102,0.5000,0.9597,12.41,11.5018,0.5000,0.9583,12.00,nan
lupus erythematosus,halcinonide,indication,11.9102,0.5000,0.9597,12.41,11.5018,0.5000,0.9583,12.00,nan
lupus erythematosus,hydrocortisone,indication,11.9102,0.5000,0.9597,12.41,11.5018,0.5000,0.9583,12.00,nan
lupus erythematosus,hydroxychloroquine,indication,11.9102,0.5000,0.9597,12.41,11.5018,0.5000,0.9583,12.00,nan
